Année,Matière,Catégorie,Sous-catégorie,Statut,Valeur
2004,Café,PRODUCTION,Café transformé,Quantité  (1000 X tonne),5.2
2005,Café,PRODUCTION,Café vert,Quantité (1000 X tonne),230
2005,Café,PRODUCTION,Café vert,Prix au producteur (FCFA /KG),250
2005,Café,PRODUCTION,Café transformé,Quantité  (1000 X tonne),5.837
2006,Café,PRODUCTION,Café vert,Quantité (1000 X tonne),187
2006,Café,PRODUCTION,Café vert,Prix au producteur (FCFA /KG),415
2006,Café,PRODUCTION,Café transformé,Quantité  (1000 X tonne),6.298
2007,Café,PRODUCTION,Café vert,Quantité (1000 X tonne),170.848
2007,Café,PRODUCTION,Café vert,Prix au producteur (FCFA /KG),448
2007,Café,PRODUCTION,Café transformé,Quantité  (1000 X tonne),9.2
2008,Café,PRODUCTION,Café vert,Quantité (1000 X tonne),173.1183
2008,Café,PRODUCTION,Café vert,Prix au producteur (FCFA /KG),623
2008,Café,PRODUCTION,Café transformé,Quantité  (1000 X tonne),7.7
2009,Café,PRODUCTION,Café vert,Quantité (1000 X tonne),142.945
2009,Café,PRODUCTION,Café vert,Prix au producteur (FCFA /KG),403
2009,Café,PRODUCTION,Café transformé,Quantité  (1000 X tonne),23.332
2010,Café,PRODUCTION,Café vert,Quantité (1000 X tonne),94.321
2010,Café,PRODUCTION,Café vert,Prix au producteur (FCFA /KG),398
2010,Café,PRODUCTION,Café transformé,Quantité  (1000 X tonne),19.5
2011,Café,PRODUCTION,Café vert,Quantité (1000 X tonne),32.291
2011,Café,PRODUCTION,Café vert,Prix au producteur (FCFA /KG),448
2011,Café,PRODUCTION,Café transformé,Quantité  (1000 X tonne),25.4
2012,Café,PRODUCTION,Café vert,Quantité (1000 X tonne),121.426
2012,Café,PRODUCTION,Café vert,Prix au producteur (FCFA /KG),526
2012,Café,PRODUCTION,Café transformé,Quantité  (1000 X tonne),17
2003,Café,EXPORTATION,Café vert,Quantité (1000 X tonne),121.6
2003,Café,EXPORTATION,Café vert,Prix moyen ( F CFA/KG),377.4671052631579
2003,Café,EXPORTATION,Café soluble,Quantité (1000 X tonne),9.036872
2003,Café,EXPORTATION,Café soluble,Prix moyen (F CFA/KG),4052.6352687080216
2004,Café,EXPORTATION,Café vert,Quantité (1000 X tonne),146.546191
2004,Café,EXPORTATION,Café vert,Prix moyen ( F CFA/KG),335.6177796664807
2004,Café,EXPORTATION,Café soluble,Quantité (1000 X tonne),5.174
2004,Café,EXPORTATION,Café soluble,Prix moyen (F CFA/KG),3776.1886354851176
2005,Café,EXPORTATION,Café vert,Quantité (1000 X tonne),94.668
2005,Café,EXPORTATION,Café vert,Prix moyen ( F CFA/KG),387.54383741074065
2005,Café,EXPORTATION,Café soluble,Quantité (1000 X tonne),5.837
2005,Café,EXPORTATION,Café soluble,Prix moyen (F CFA/KG),3947.575809491177
2006,Café,EXPORTATION,Café vert,Quantité (1000 X tonne),95.219
2006,Café,EXPORTATION,Café vert,Prix moyen ( F CFA/KG),608.513006857875
2006,Café,EXPORTATION,Café soluble,Quantité (1000 X tonne),7.833
2006,Café,EXPORTATION,Café soluble,Prix moyen (F CFA/KG),3698.8382484361036
2007,Café,EXPORTATION,Café vert,Quantité (1000 X tonne),121.033336
2007,Café,EXPORTATION,Café vert,Prix moyen ( F CFA/KG),719
2007,Café,EXPORTATION,Café soluble,Quantité (1000 X tonne),9.229126
